countries,total_collected_msw_(t),food,garden,paper,plastic,glass,metal,rubber_and_leather,textile,other,scenario,co₂_emissions_reduction_potential
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Digest organics,-0.4158997908963845
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Retrofit landfill,-0.1438251278229429
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Half waste,-0.5
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Compost + retrofit,-0.499885266997373
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,Digest + retrofit,-0.499885266997373
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,All strategies (C) ,-0.7499426334986866
Canada,25999880.461799663,30.0,14.0,11.0,13.0,2.0,3.0,1.0,1.0,25.0,All strategies (D),-0.7499426334986866
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,Compost organics,-0.513331028772374
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,Digest organics,-0.513331028772374
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,Retrofit landfill,-0.0004246216927623
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,Half waste,-0.5
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,Compost + retrofit,-0.5135238796132682
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,Digest + retrofit,-0.5135238796132682
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,All strategies (C),-0.7567619398066341
China,160252842.10526317,53.7,2.2,16.9,13.6,1.5,0.6,0.0,2.3,9.2,All strategies (D),-0.7567619398066341
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,Compost organics,-0.5402086485476035
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,Digest organics,-0.5402086485476035
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,Retrofit landfill,-0.2073961743662176
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,Half waste,-0.5
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,Compost + retrofit,-0.6239967029915554
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,Digest + retrofit,-0.6239967029915554
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,All strategies (C) ,-0.8119983514957777
Colombia,10852077.485766169,59.58,0.0,8.4,12.83,2.35,1.1,0.0,0.0,15.74,All strategies (D),-0.8119983514957777
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,Compost organics,-0.1790730443264075
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,Digest organics,-0.1790730443264075
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,Retrofit landfill,-0.3288279674308393
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,Half waste,-0.5
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,Compost + retrofit,-0.3599284264133691
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,Digest + retrofit,-0.3599284264133691
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,All strategies (C),-0.6799642132066845
"Congo, Dem. Rep.",5989242.5699220095,45.0,0.0,0.0,23.0,0.0,4.0,5.0,10.0,13.0,All strategies (D),-0.6799642132066845
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,Compost organics,-0.3569649894142025
"Egypt, Arab Rep.",12416532.71475998,56.0,0.0,10.0,13.0,4.0,2.0,0.0,0.0,15.0,Digest organics,-0.3569649894142025
